Order_ID,Product,Category,Sales,Quantity,Profit,Region,Month,Customer_Type
1001,iPhone 15,Electronics,79999,1,15000,North,January,Retail
1002,Samsung TV,Electronics,45999,2,8000,South,January,Wholesale
1003,Nike Shoes,Footwear,8999,3,2000,East,January,Retail
1004,Levi Jeans,Apparel,4999,5,1500,West,January,Retail
1005,MacBook Pro,Electronics,124999,1,20000,North,February,Wholesale
1006,Adidas Tshirt,Apparel,2999,10,800,South,February,Retail
1007,Sony Headphones,Electronics,12999,4,3000,East,February,Retail
1008,Puma Shoes,Footwear,6999,2,1500,West,February,Wholesale
1009,iPad Air,Electronics,59999,3,10000,North,March,Retail
1010,Zara Dress,Apparel,3999,7,1200,South,March,Retail
1011,Boat Earphones,Electronics,2999,15,500,East,March,Wholesale
1012,Woodland Shoes,Footwear,5999,4,1800,West,March,Retail
1013,OnePlus 12,Electronics,49999,2,8000,North,April,Retail
1014,H&M Jacket,Apparel,5999,6,2000,South,April,Wholesale
1015,Bata Sandals,Footwear,1999,8,600,East,April,Retail
1016,Dell Laptop,Electronics,65999,1,12000,West,April,Retail
1017,Fastrack Watch,Accessories,2499,12,800,North,May,Retail
1018,Titan Watch,Accessories,8999,5,2500,South,May,Wholesale
1019,Reebok Shoes,Footwear,7999,3,2000,East,May,Retail
1020,Apple Watch,Accessories,41999,2,7000,West,May,Retail
1021,LG Washing Machine,Appliances,35999,1,5000,North,June,Wholesale
1022,Philips Mixer,Appliances,4999,6,1200,South,June,Retail
1023,Prestige Cooker,Appliances,3499,8,900,East,June,Retail
1024,Bajaj Fan,Appliances,2999,10,700,West,June,Wholesale
1025,Canon Camera,Electronics,55999,1,9000,North,July,Retail
1026,GoPro Hero,Electronics,35999,2,6000,South,July,Retail
1027,Levis Belt,Accessories,1999,15,500,East,July,Wholesale
1028,Ray Ban Sunglasses,Accessories,12999,4,3500,West,July,Retail
1029,Whirlpool Fridge,Appliances,42999,1,7000,North,August,Wholesale
1030,Havells Iron,Appliances,2499,9,600,South,August,Retail
1031,Noise Smartwatch,Accessories,4999,7,1500,East,August,Retail
1032,Wildcraft Bag,Accessories,3999,5,1000,West,August,Retail
1033,Motorola Phone,Electronics,19999,3,3500,North,September,Retail
1034,Panasonic TV,Electronics,38999,2,6500,South,September,Wholesale
1035,Biba Kurta,Apparel,2499,12,700,East,September,Retail
1036,Liberty Shoes,Footwear,3999,6,1100,West,September,Retail
1037,boAt Speaker,Electronics,5999,8,1500,North,October,Retail
1038,Crompton Fan,Appliances,3499,7,900,South,October,Wholesale
1039,Arrow Shirt,Apparel,2999,10,800,East,October,Retail
1040,Hush Puppies,Footwear,8999,3,2500,West,October,Retail
1041,Xiaomi Phone,Electronics,15999,5,2800,North,November,Retail
1042,Voltas AC,Appliances,35999,1,6000,South,November,Wholesale
1043,Jockey Tshirt,Apparel,999,20,300,East,November,Retail
1044,Sparx Shoes,Footwear,2999,8,900,West,November,Retail
1045,Lenovo Laptop,Electronics,55999,2,9500,North,December,Wholesale
1046,Mixer Grinder,Appliances,5999,4,1500,South,December,Retail
1047,Peter England Shirt,Apparel,1999,15,600,East,December,Retail
1048,Woodland Boots,Footwear,9999,2,3000,West,December,Retail
1049,Samsung Phone,Electronics,34999,3,6000,North,December,Retail
1050,Philips TV,Electronics,29999,2,5000,South,December,Wholesale
